link,text,date,No_of_Likes,No_of_Retweets
https://twitter.com/BBCSport/status/1794368756174491882#m,Here we go!   Who will be crowned 2024 FA Cup winners? 🏆  Watch the #FACup final live on @BBCOne and @BBCiPlayer 📺💻📱👇  #BBCFootball #BBCFACup,"May 25, 2024 · 2:03 PM UTC",49,10
https://twitter.com/BBC/status/1794354020347449806#m,"Clear your calendar, A Good Girl’s Guide to Murder is coming 🤫  Watch on #iPlayer in the UK from 1st July 2024.  #AGoodGirlsGuidetoMurder #AGGGTMSeries #AGGGTM","May 25, 2024 · 1:05 PM UTC",1640,652
https://twitter.com/bbcpress/status/1793572073916268768#m,Fancy finding out what the Brockmans did next?  #Outnumbered is back for a Christmas Special on the BBC  Find out more ➡️ https://bbc.in/3URxO3O,"May 23, 2024 · 9:18 AM UTC",2716,236
https://twitter.com/bbcpress/status/1792845678802059537#m,"😘 I Kissed a Boy to return to @BBCiPlayer & @bbcthree for series 2!   Pop goddess @DanniiMinogue  is back to play Cupid once again for an epic summer of love that promises more joy, more untold stories and more drama than ever before 👀  More here ➡️ https://bbc.in/3KfhhSc","May 21, 2024 · 9:11 AM UTC",277,40
https://twitter.com/bbcpress/status/1792482134927507467#m,"🎬 Filming is officially underway for Alan Partridge’s brand new documentary series And Did Those Feet… with Alan Partridge  It’s a show that makes a statement that will create shockwaves: “I’m Alan Partridge, and I’m not OK.”  Find out more ➡️ https://bbc.in/44Wnmwz","May 20, 2024 · 9:06 AM UTC",312,47
https://twitter.com/bbcpress/status/1792477109606117663#m,Timothy Spall and Gwyneth Keyworth are an unlikely crime-solving partnership in new comedy drama Death Valley (w/t)  When John and Janie aren't arguing about a case they’re inevitably up in each other’s personal business...  Find out more ➡️ https://bbc.in/3yttQac,"May 20, 2024 · 8:47 AM UTC",52,19
https://twitter.com/bbcpress/status/1792456382895300898#m,"📢 Zayn Malik is reading a CBeebies Bedtime Story!  The latest star to take a seat in the iconic CBeebies Bedtime Story chair, Zayn reads ‘Music is in Everything’ by Ziggy Marley, an uplifting ode to the power and beauty of song ✨  More ➡️ bbc.co.uk/mediacentre/2024/z…","May 20, 2024 · 7:24 AM UTC",1866,540
https://twitter.com/bbcpress/status/1791742895784853917#m,"Loved #Motherland? Watch out for new spin-off Amandaland, coming to #iPlayer & @BBCOne   Amanda (Lucy Punch) is facing new challenges post divorce - and then there’s her mother, Felicity (Joanna Lumley). Thank God for Anne (Philippa Dunne).  Read more ➡️ https://bbc.in/3UK4T1v","May 18, 2024 · 8:09 AM UTC",2050,191
https://twitter.com/bbcpress/status/1791396573387125140#m,"BBC announces content across television and radio to commemorate #DDay80 Anniversary  A range of live and historic programming will feature Dame Helen Mirren, Anita Rani, JJ Chalmers, Kirsty Young, Sophie Raworth and many others  Full details ⤵️ https://www.bbc.co.uk/mediacentre/2024/bbc-announces-content-to-commemorate-d-day-80th-anniversary","May 17, 2024 · 9:13 AM UTC",58,24
https://twitter.com/bbcpress/status/1791040467838157196#m,"☀️ Feast your eyes on @CliveMyrieBBC's upcoming Caribbean Adventure, a celebration of island life and Clive’s own heritage!  Clive reflects on his favourite moments and teases what to expect from the adventure. Coming to @BBCiPlayer  27 May  Read more ➡️ https://bbc.in/3WOHOO5","May 16, 2024 · 9:38 AM UTC",59,18
https://twitter.com/bbcpress/status/1790671860574646468#m,"#Strictly Come Dancing is officially 20 years young today 🥳 And we’ve got FAB-U-LOUS news!  We’re celebrating two decades of glitz, glamour and memorable moves with a special episode coming to @BBCOne & @BBCiPlayer later this year  Read more ➡️ https://bbc.in/4bfAqzF","May 15, 2024 · 9:13 AM UTC",452,88
https://twitter.com/BBCSport/status/1790336504847298625#m,We can't wait to make more @EmiratesFACup memories with you all 🏆  #BBCFootball | #FACup,"May 14, 2024 · 11:01 AM UTC",719,60
https://twitter.com/bbcpress/status/1789955792449175911#m,"🏆 What a night at the #BAFTATVAwards 2024!  We were thrilled to celebrate 14 wins for unmissable shows including Happy Valley, Strictly Come Dancing, Eurovision 2023 and many more. Congratulations to all the winners!  Winners ➡️ bbc.co.uk/mediacentre/2024/b…","May 13, 2024 · 9:48 AM UTC",69,22
https://twitter.com/bbcthree/status/1788543884223451144#m,Join @SteffanPowell for the return of #DoctorWhoUnleashed - your access-all-areas look at #DoctorWho Season 1! 🎬  Watch Doctor Who Unleashed on #iPlayer from 11 May.  #BBCThree #NcutiGatwa #MillieGibson,"May 9, 2024 · 12:17 PM UTC",570,102
https://twitter.com/bbcpress/status/1787747391791038799#m,"📞 Good morning #Eurovision, it's Olly calling! ✨  Olly Alexander chats all about how he’s preparing for the Grand Final in Malmö this Saturday, and Graham Norton shares his personal favourites from this year’s entries...  Read more ➡️ bbc.co.uk/mediacentre/2024/e…","May 7, 2024 · 7:32 AM UTC",87,16
https://twitter.com/bbcpress/status/1786294520646164750#m,"📢 We’ll have: A chicken bhuna, lamb bhuna, prawn bhuna, mushroom rice, bag of chips, keema naan, nine poppadoms and the last ever episode of Gavin and Stacey!!!   Coming this Christmas Day on @BBCOne and @BBCiPlayer   Read ➡️ https://bbc.in/4bm4xEZ","May 3, 2024 · 7:19 AM UTC",8788,1357
https://twitter.com/bbcpress/status/1786049197801685255#m,"📢 Don Gilet announced as Death in Paradise’s new lead detective!  Don will make his debut as D.I. Mervin Wilson this Christmas, before his first full series next year  Read more ➡️ bbc.co.uk/mediacentre/2024/d…","May 2, 2024 · 3:04 PM UTC",586,72
https://twitter.com/BBC/status/1785987607211417828#m,"Five years since #AGGGTM hit the shelves and only a few months until it hits our screens 🫶📸  A Good Girl's Guide to Murder, coming to @BBCiPlayer in July 2024  #AGoodGirlsGuidetoMurder #iPlayer #AGGGTMSeries #HollyJackson","May 2, 2024 · 11:00 AM UTC",218,78
